Company,Recommendations
ADANIENT,6
ADANIPORTS,6
APOLLOHOSP,6
ASIANPAINT,6
AXISBANK,6
BAJAJ-AUTO,6
BAJFINANCE,6
BAJAJFINSV,2.00
BPCL,6
BHARTIARTL,6
BRITANNIA,6
CIPLA,6
COALINDIA,6
DIVISLAB,6
DRREDDY,6
EICHERMOT,6
GRASIM,6
HCLTECH,6
HDFCBANK,6
HDFCLIFE,6
HEROMOTOCO,6
HINDALCO,6
HINDUNILVR,6
HDFC,6
ICICIBANK,6
ITC,6
INDUSINDBK,6
INFY,2.50
JSWSTEEL,6
KOTAKBANK,6
LT,6
M&M,6
MARUTI,6
NTPC,6
NESTLEIND,6
ONGC,6
POWERGRID,6
RELIANCE,6
SBILIFE,6
SBIN,6
SUNPHARMA,6
TCS,3.00
TATACONSUM,6
TATAMOTORS,6
TATASTEEL,6
TECHM,6
TITAN,6
UPL,6
ULTRACEMCO,6
WIPRO,6
